 log g Teff   ZR   Vel  a(CHEOPS)
 log g Teff   ZR   Vel  b(CHEOPS)
 log g Teff   ZR   Vel  xi(CHEOPS)
 1.00  7250. -5.0  2.0   0.0013
 1.50  7250. -5.0  2.0   0.4224
 1.50  7250. -5.0  2.0   0.1985
 1.50  7250. -5.0  2.0   0.0011
 2.00  7250. -5.0  2.0   0.4251
 2.00  7250. -5.0  2.0   0.1915
 2.00  7250. -5.0  2.0   0.0007
 2.50  7250. -5.0  2.0   0.4198
 2.50  7250. -5.0  2.0   0.1938
 2.50  7250. -5.0  2.0   0.0003
 3.00  7250. -5.0  2.0   0.4224
 3.00  7250. -5.0  2.0   0.1867
 3.00  7250. -5.0  2.0   0.0002
 3.50  7250. -5.0  2.0   0.2715
 3.50  7250. -5.0  2.0   0.3033
 3.50  7250. -5.0  2.0   0.0080
 4.00  7250. -5.0  2.0   0.2662
 4.00  7250. -5.0  2.0   0.3080
 4.00  7250. -5.0  2.0   0.0075
 4.50  7250. -5.0  2.0   0.2668
 4.50  7250. -5.0  2.0   0.3077
 4.50  7250. -5.0  2.0   0.0068
 5.00  7250. -5.0  2.0   0.2618
 5.00  7250. -5.0  2.0   0.3114
 5.00  7250. -5.0  2.0   0.0067
 1.00  7500. -5.0  2.0   0.3742
 1.00  7500. -5.0  2.0   0.2403
 1.00  7500. -5.0  2.0   0.0025
 1.50  7500. -5.0  2.0   0.3794
 1.50  7500. -5.0  2.0   0.2327
 1.50  7500. -5.0  2.0   0.0023
 2.00  7500. -5.0  2.0   0.3905
 2.00  7500. -5.0  2.0   0.2177
 2.00  7500. -5.0  2.0   0.0018
 2.50  7500. -5.0  2.0   0.3947
 2.50  7500. -5.0  2.0   0.2103
 2.50  7500. -5.0  2.0   0.0011
 3.00  7500. -5.0  2.0   0.3915
 3.00  7500. -5.0  2.0   0.2119
 3.00  7500. -5.0  2.0   0.0005
 3.50  7500. -5.0  2.0   0.3948
 3.50  7500. -5.0  2.0   0.2049
 3.50  7500. -5.0  2.0   0.0003
 4.00  7500. -5.0  2.0   0.2578
 4.00  7500. -5.0  2.0   0.3124
 4.00  7500. -5.0  2.0   0.0070
 4.50  7500. -5.0  2.0   0.2534
 4.50  7500. -5.0  2.0   0.3141
 4.50  7500. -5.0  2.0   0.0073
 5.00  7500. -5.0  2.0   0.2502
 5.00  7500. -5.0  2.0   0.3159
 5.00  7500. -5.0  2.0   0.0072
 1.50  7750. -5.0  2.0   0.3409
 1.50  7750. -5.0  2.0   0.2592
 1.50  7750. -5.0  2.0   0.0039
 2.00  7750. -5.0  2.0   0.3490
 2.00  7750. -5.0  2.0   0.2485
 2.00  7750. -5.0  2.0   0.0033
 2.50  7750. -5.0  2.0   0.3617
 2.50  7750. -5.0  2.0   0.2328
 2.50  7750. -5.0  2.0   0.0025
 3.00  7750. -5.0  2.0   0.3664
 3.00  7750. -5.0  2.0   0.2270
 3.00  7750. -5.0  2.0   0.0015
 3.50  7750. -5.0  2.0   0.3645
 3.50  7750. -5.0  2.0   0.2287
 3.50  7750. -5.0  2.0   0.0007
 4.00  7750. -5.0  2.0   0.3678
 4.00  7750. -5.0  2.0   0.2224
 4.00  7750. -5.0  2.0   0.0004
 4.50  7750. -5.0  2.0   0.2377
 4.50  7750. -5.0  2.0   0.3225
 4.50  7750. -5.0  2.0   0.0080
 5.00  7750. -5.0  2.0   0.2366
 5.00  7750. -5.0  2.0   0.3225
 5.00  7750. -5.0  2.0   0.0078
 1.50  8000. -5.0  2.0   0.3110
 1.50  8000. -5.0  2.0   0.2757
 1.50  8000. -5.0  2.0   0.0057
 2.00  8000. -5.0  2.0   0.3133
 2.00  8000. -5.0  2.0   0.2713
 2.00  8000. -5.0  2.0   0.0053
 2.50  8000. -5.0  2.0   0.3239
 2.50  8000. -5.0  2.0   0.2590
 2.50  8000. -5.0  2.0   0.0043
 3.00  8000. -5.0  2.0   0.3378
 3.00  8000. -5.0  2.0   0.2435
 3.00  8000. -5.0  2.0   0.0032
 3.50  8000. -5.0  2.0   0.3401
 3.50  8000. -5.0  2.0   0.2422
 3.50  8000. -5.0  2.0   0.0019
 4.00  8000. -5.0  2.0   0.3387
 4.00  8000. -5.0  2.0   0.2443
 4.00  8000. -5.0  2.0   0.0011
 4.50  8000. -5.0  2.0   0.3414
 4.50  8000. -5.0  2.0   0.2390
 4.50  8000. -5.0  2.0   0.0007
 5.00  8000. -5.0  2.0   0.2200
 5.00  8000. -5.0  2.0   0.3311
 5.00  8000. -5.0  2.0   0.0089
 2.00  8250. -5.0  2.0   0.2866
 2.00  8250. -5.0  2.0   0.2843
 2.00  8250. -5.0  2.0   0.0072
 2.50  8250. -5.0  2.0   0.2919
 2.50  8250. -5.0  2.0   0.2776
 2.50  8250. -5.0  2.0   0.0063
 3.00  8250. -5.0  2.0   0.3041
 3.00  8250. -5.0  2.0   0.2649
 3.00  8250. -5.0  2.0   0.0051
 3.50  8250. -5.0  2.0   0.3166
 3.50  8250. -5.0  2.0   0.2522
 3.50  8250. -5.0  2.0   0.0038
 4.00  8250. -5.0  2.0   0.3144
 4.00  8250. -5.0  2.0   0.2577
 4.00  8250. -5.0  2.0   0.0023
 4.50  8250. -5.0  2.0   0.3146
 4.50  8250. -5.0  2.0   0.2579
 4.50  8250. -5.0  2.0   0.0014
 5.00  8250. -5.0  2.0   0.2091
 5.00  8250. -5.0  2.0   0.3363
 5.00  8250. -5.0  2.0   0.0091
 1.50  8500. -5.0  2.0   0.2784
 1.50  8500. -5.0  2.0   0.2843
 1.50  8500. -5.0  2.0   0.0084
 2.00  8500. -5.0  2.0   0.2673
 2.00  8500. -5.0  2.0   0.2903
 2.00  8500. -5.0  2.0   0.0087
 2.50  8500. -5.0  2.0   0.2679
 2.50  8500. -5.0  2.0   0.2876
 2.50  8500. -5.0  2.0   0.0082
 3.00  8500. -5.0  2.0   0.2755
 3.00  8500. -5.0  2.0   0.2801
 3.00  8500. -5.0  2.0   0.0070
 3.50  8500. -5.0  2.0   0.2878
 3.50  8500. -5.0  2.0   0.2685
 3.50  8500. -5.0  2.0   0.0057
 4.00  8500. -5.0  2.0   0.2967
 4.00  8500. -5.0  2.0   0.2607
 4.00  8500. -5.0  2.0   0.0043
 4.50  8500. -5.0  2.0   0.2919
 4.50  8500. -5.0  2.0   0.2701
 4.50  8500. -5.0  2.0   0.0027
 5.00  8500. -5.0  2.0   0.2899
 5.00  8500. -5.0  2.0   0.2720
 5.00  8500. -5.0  2.0   0.0018
 2.00  8750. -5.0  2.0   0.2544
 2.00  8750. -5.0  2.0   0.2919
 2.00  8750. -5.0  2.0   0.0097
 2.50  8750. -5.0  2.0   0.2501
 2.50  8750. -5.0  2.0   0.2923
 2.50  8750. -5.0  2.0   0.0095
 3.00  8750. -5.0  2.0   0.2540
 3.00  8750. -5.0  2.0   0.2879
 3.00  8750. -5.0  2.0   0.0087
 3.50  8750. -5.0  2.0   0.2625
 3.50  8750. -5.0  2.0   0.2808
 3.50  8750. -5.0  2.0   0.0075
 4.00  8750. -5.0  2.0   0.2734
 4.00  8750. -5.0  2.0   0.2712
 4.00  8750. -5.0  2.0   0.0062
 4.50  8750. -5.0  2.0   0.2751
 4.50  8750. -5.0  2.0   0.2723
 4.50  8750. -5.0  2.0   0.0047
 5.00  8750. -5.0  2.0   0.2692
 5.00  8750. -5.0  2.0   0.2825
 5.00  8750. -5.0  2.0   0.0031
 1.50  9000. -5.0  2.0   0.2689
 1.50  9000. -5.0  2.0   0.2799
 1.50  9000. -5.0  2.0   0.0092
 2.00  9000. -5.0  2.0   0.2461
 2.00  9000. -5.0  2.0   0.2912
 2.00  9000. -5.0  2.0   0.0103
 2.50  9000. -5.0  2.0   0.2376
 2.50  9000. -5.0  2.0   0.2936
 2.50  9000. -5.0  2.0   0.0104
 3.00  9000. -5.0  2.0   0.2379
 3.00  9000. -5.0  2.0   0.2916
 3.00  9000. -5.0  2.0   0.0099
 3.50  9000. -5.0  2.0   0.2429
 3.50  9000. -5.0  2.0   0.2875
 3.50  9000. -5.0  2.0   0.0090
 4.00  9000. -5.0  2.0   0.2517
 4.00  9000. -5.0  2.0   0.2807
 4.00  9000. -5.0  2.0   0.0079
 4.50  9000. -5.0  2.0   0.2626
