 log g Teff   ZR   Vel  a(CHEOPS)
 log g Teff   ZR   Vel  b(CHEOPS)
 log g Teff   ZR   Vel  xi(CHEOPS)
 1.00  6000.  0.0  8.0   0.1740
 1.00  6000.  0.0  8.0   0.0092
 1.50  6000.  0.0  8.0   0.3865
 1.50  6000.  0.0  8.0   0.2565
 1.50  6000.  0.0  8.0   0.0136
 2.00  6000.  0.0  8.0   0.3581
 2.00  6000.  0.0  8.0   0.2839
 2.00  6000.  0.0  8.0   0.0155
 2.50  6000.  0.0  8.0   0.3584
 2.50  6000.  0.0  8.0   0.2874
 2.50  6000.  0.0  8.0   0.0144
 3.00  6000.  0.0  8.0   0.3592
 3.00  6000.  0.0  8.0   0.2902
 3.00  6000.  0.0  8.0   0.0131
 3.50  6000.  0.0  8.0   0.3616
 3.50  6000.  0.0  8.0   0.2903
 3.50  6000.  0.0  8.0   0.0117
 4.00  6000.  0.0  8.0   0.3645
 4.00  6000.  0.0  8.0   0.2894
 4.00  6000.  0.0  8.0   0.0105
 4.50  6000.  0.0  8.0   0.3695
 4.50  6000.  0.0  8.0   0.2861
 4.50  6000.  0.0  8.0   0.0095
 5.00  6000.  0.0  8.0   0.3700
 5.00  6000.  0.0  8.0   0.2860
 5.00  6000.  0.0  8.0   0.0090
 0.50  6250.  0.0  8.0   0.5034
 0.50  6250.  0.0  8.0   0.1526
 0.50  6250.  0.0  8.0   0.0040
 1.00  6250.  0.0  8.0   0.4721
 1.00  6250.  0.0  8.0   0.1813
 1.00  6250.  0.0  8.0   0.0060
 1.50  6250.  0.0  8.0   0.4295
 1.50  6250.  0.0  8.0   0.2105
 1.50  6250.  0.0  8.0   0.0114
 2.00  6250.  0.0  8.0   0.3484
 2.00  6250.  0.0  8.0   0.2824
 2.00  6250.  0.0  8.0   0.0156
 2.50  6250.  0.0  8.0   0.3252
 2.50  6250.  0.0  8.0   0.3041
 2.50  6250.  0.0  8.0   0.0167
 3.00  6250.  0.0  8.0   0.3268
 3.00  6250.  0.0  8.0   0.3050
 3.00  6250.  0.0  8.0   0.0154
 3.50  6250.  0.0  8.0   0.3278
 3.50  6250.  0.0  8.0   0.3062
 3.50  6250.  0.0  8.0   0.0139
 4.00  6250.  0.0  8.0   0.3301
 4.00  6250.  0.0  8.0   0.3057
 4.00  6250.  0.0  8.0   0.0125
 4.50  6250.  0.0  8.0   0.3336
 4.50  6250.  0.0  8.0   0.3038
 4.50  6250.  0.0  8.0   0.0112
 5.00  6250.  0.0  8.0   0.3325
 5.00  6250.  0.0  8.0   0.3045
 5.00  6250.  0.0  8.0   0.0107
 0.50  6500.  0.0  8.0   0.4858
 0.50  6500.  0.0  8.0   0.1632
 0.50  6500.  0.0  8.0   0.0038
 1.00  6500.  0.0  8.0   0.4718
 1.00  6500.  0.0  8.0   0.1802
 1.00  6500.  0.0  8.0   0.0046
 1.50  6500.  0.0  8.0   0.4374
 1.50  6500.  0.0  8.0   0.2081
 1.50  6500.  0.0  8.0   0.0070
 2.00  6500.  0.0  8.0   0.3862
 2.00  6500.  0.0  8.0   0.2414
 2.00  6500.  0.0  8.0   0.0137
 2.50  6500.  0.0  8.0   0.3138
 2.50  6500.  0.0  8.0   0.3048
 2.50  6500.  0.0  8.0   0.0173
 3.00  6500.  0.0  8.0   0.2983
 3.00  6500.  0.0  8.0   0.3192
 3.00  6500.  0.0  8.0   0.0174
 3.50  6500.  0.0  8.0   0.3002
 3.50  6500.  0.0  8.0   0.3188
 3.50  6500.  0.0  8.0   0.0158
 4.00  6500.  0.0  8.0   0.3025
 4.00  6500.  0.0  8.0   0.3184
 4.00  6500.  0.0  8.0   0.0141
 4.50  6500.  0.0  8.0   0.3043
 4.50  6500.  0.0  8.0   0.3167
 4.50  6500.  0.0  8.0   0.0128
 5.00  6500.  0.0  8.0   0.3025
 5.00  6500.  0.0  8.0   0.3174
 5.00  6500.  0.0  8.0   0.0123
 0.50  6750.  0.0  8.0   0.4569
 0.50  6750.  0.0  8.0   0.1855
 0.50  6750.  0.0  8.0   0.0037
 1.00  6750.  0.0  8.0   0.4552
 1.00  6750.  0.0  8.0   0.1904
 1.00  6750.  0.0  8.0   0.0045
 1.50  6750.  0.0  8.0   0.4384
 1.50  6750.  0.0  8.0   0.2081
 1.50  6750.  0.0  8.0   0.0053
 2.00  6750.  0.0  8.0   0.4010
 2.00  6750.  0.0  8.0   0.2349
 2.00  6750.  0.0  8.0   0.0082
 2.50  6750.  0.0  8.0   0.3427
 2.50  6750.  0.0  8.0   0.2725
 2.50  6750.  0.0  8.0   0.0156
 3.00  6750.  0.0  8.0   0.2846
 3.00  6750.  0.0  8.0   0.3234
 3.00  6750.  0.0  8.0   0.0180
 3.50  6750.  0.0  8.0   0.2755
 3.50  6750.  0.0  8.0   0.3312
 3.50  6750.  0.0  8.0   0.0173
 4.00  6750.  0.0  8.0   0.2785
 4.00  6750.  0.0  8.0   0.3291
 4.00  6750.  0.0  8.0   0.0155
 4.50  6750.  0.0  8.0   0.2796
 4.50  6750.  0.0  8.0   0.3272
 4.50  6750.  0.0  8.0   0.0144
 5.00  6750.  0.0  8.0   0.2782
 5.00  6750.  0.0  8.0   0.3270
 5.00  6750.  0.0  8.0   0.0137
 0.50  7000.  0.0  8.0   0.4301
 0.50  7000.  0.0  8.0   0.2059
 0.50  7000.  0.0  8.0   0.0037
 1.00  7000.  0.0  8.0   0.4252
 1.00  7000.  0.0  8.0   0.2131
 1.00  7000.  0.0  8.0   0.0047
 1.50  7000.  0.0  8.0   0.4240
 1.50  7000.  0.0  8.0   0.2161
 1.50  7000.  0.0  8.0   0.0054
 2.00  7000.  0.0  8.0   0.4037
 2.00  7000.  0.0  8.0   0.2351
 2.00  7000.  0.0  8.0   0.0061
 2.50  7000.  0.0  8.0   0.3630
 2.50  7000.  0.0  8.0   0.2616
 2.50  7000.  0.0  8.0   0.0096
 3.00  7000.  0.0  8.0   0.3003
 3.00  7000.  0.0  8.0   0.3030
 3.00  7000.  0.0  8.0   0.0171
 3.50  7000.  0.0  8.0   0.2609
 3.50  7000.  0.0  8.0   0.3368
 3.50  7000.  0.0  8.0   0.0180
 4.00  7000.  0.0  8.0   0.2569
 4.00  7000.  0.0  8.0   0.3393
 4.00  7000.  0.0  8.0   0.0169
 4.50  7000.  0.0  8.0   0.2582
 4.50  7000.  0.0  8.0   0.3364
 4.50  7000.  0.0  8.0   0.0159
 5.00  7000.  0.0  8.0   0.2583
 5.00  7000.  0.0  8.0   0.3350
 5.00  7000.  0.0  8.0   0.0147
 0.50  7250.  0.0  8.0   0.4043
 0.50  7250.  0.0  8.0   0.2243
 0.50  7250.  0.0  8.0   0.0041
 1.00  7250.  0.0  8.0   0.3956
 1.00  7250.  0.0  8.0   0.2343
 1.00  7250.  0.0  8.0   0.0053
 1.50  7250.  0.0  8.0   0.3919
 1.50  7250.  0.0  8.0   0.2393
 1.50  7250.  0.0  8.0   0.0061
 2.00  7250.  0.0  8.0   0.3923
 2.00  7250.  0.0  8.0   0.2397
 2.00  7250.  0.0  8.0   0.0064
 2.50  7250.  0.0  8.0   0.3691
 2.50  7250.  0.0  8.0   0.2593
 2.50  7250.  0.0  8.0   0.0071
 3.00  7250.  0.0  8.0   0.3246
 3.00  7250.  0.0  8.0   0.2864
 3.00  7250.  0.0  8.0   0.0114
 3.50  7250.  0.0  8.0   0.2624
 3.50  7250.  0.0  8.0   0.3264
 3.50  7250.  0.0  8.0   0.0188
 4.00  7250.  0.0  8.0   0.2391
 4.00  7250.  0.0  8.0   0.3475
 4.00  7250.  0.0  8.0   0.0179
 4.50  7250.  0.0  8.0   0.2375
 4.50  7250.  0.0  8.0   0.3460
 4.50  7250.  0.0  8.0   0.0173
 5.00  7250.  0.0  8.0   0.2395
 5.00  7250.  0.0  8.0   0.3428
 5.00  7250.  0.0  8.0   0.0159
 0.50  7500.  0.0  8.0   0.3752
 0.50  7500.  0.0  8.0   0.2426
 0.50  7500.  0.0  8.0   0.0047
 1.00  7500.  0.0  8.0   0.3705
 1.00  7500.  0.0  8.0   0.2497
 1.00  7500.  0.0  8.0   0.0061
 1.50  7500.  0.0  8.0   0.3610
 1.50  7500.  0.0  8.0   0.2594
 1.50  7500.  0.0  8.0   0.0073
 2.00  7500.  0.0  8.0   0.3583
 2.00  7500.  0.0  8.0   0.2623
 2.00  7500.  0.0  8.0   0.0078
 2.50  7500.  0.0  8.0   0.3588
 2.50  7500.  0.0  8.0   0.2615
 2.50  7500.  0.0  8.0   0.0078
 3.00  7500.  0.0  8.0   0.3330
 3.00  7500.  0.0  8.0   0.2823
 3.00  7500.  0.0  8.0   0.0084
 3.50  7500.  0.0  8.0   0.2835
 3.50  7500.  0.0  8.0   0.3131
 3.50  7500.  0.0  8.0   0.0133
 4.00  7500.  0.0  8.0   0.2293
 4.00  7500.  0.0  8.0   0.3479
 4.00  7500.  0.0  8.0   0.0189
 4.50  7500.  0.0  8.0   0.2208
 4.50  7500.  0.0  8.0   0.3539
 4.50  7500.  0.0  8.0   0.0181
 5.00  7500.  0.0  8.0   0.2209
 5.00  7500.  0.0  8.0   0.3511
 5.00  7500.  0.0  8.0   0.0171
 1.00  7750.  0.0  8.0   0.3518
 1.00  7750.  0.0  8.0   0.2583
 1.00  7750.  0.0  8.0   0.0067
 1.50  7750.  0.0  8.0   0.3373
 1.50  7750.  0.0  8.0   0.2714
 1.50  7750.  0.0  8.0   0.0084
 2.00  7750.  0.0  8.0   0.3295
 2.00  7750.  0.0  8.0   0.2783
 2.00  7750.  0.0  8.0   0.0094
 2.50  7750.  0.0  8.0   0.3272
 2.50  7750.  0.0  8.0   0.2799
 2.50  7750.  0.0  8.0   0.0095
 3.00  7750.  0.0  8.0   0.3281
 3.00  7750.  0.0  8.0   0.2782
 3.00  7750.  0.0  8.0   0.0091
 3.50  7750.  0.0  8.0   0.2985
 3.50  7750.  0.0  8.0   0.3016
 3.50  7750.  0.0  8.0   0.0099
 4.00  7750.  0.0  8.0   0.2471
 4.00  7750.  0.0  8.0   0.3322
 4.00  7750.  0.0  8.0   0.0156
 4.50  7750.  0.0  8.0   0.2027
 4.50  7750.  0.0  8.0   0.3580
 4.50  7750.  0.0  8.0   0.0206
 5.00  7750.  0.0  8.0   0.2051
 5.00  7750.  0.0  8.0   0.3579
 5.00  7750.  0.0  8.0   0.0177
 1.00  8000.  0.0  8.0   0.3383
 1.00  8000.  0.0  8.0   0.2613
 1.00  8000.  0.0  8.0   0.0071
 1.50  8000.  0.0  8.0   0.3195
 1.50  8000.  0.0  8.0   0.2776
 1.50  8000.  0.0  8.0   0.0091
 2.00  8000.  0.0  8.0   0.3075
 2.00  8000.  0.0  8.0   0.2867
 2.00  8000.  0.0  8.0   0.0106
 2.50  8000.  0.0  8.0   0.3019
 2.50  8000.  0.0  8.0   0.2907
 2.50  8000.  0.0  8.0   0.0112
 3.00  8000.  0.0  8.0   0.3009
 3.00  8000.  0.0  8.0   0.2907
 3.00  8000.  0.0  8.0   0.0110
 3.50  8000.  0.0  8.0   0.3000
 3.50  8000.  0.0  8.0   0.2906
 3.50  8000.  0.0  8.0   0.0103
 4.00  8000.  0.0  8.0   0.2646
 4.00  8000.  0.0  8.0   0.3183
 4.00  8000.  0.0  8.0   0.0115
 4.50  8000.  0.0  8.0   0.2126
 4.50  8000.  0.0  8.0   0.3512
 4.50  8000.  0.0  8.0   0.0170
 5.00  8000.  0.0  8.0   0.1920
 5.00  8000.  0.0  8.0   0.3629
 5.00  8000.  0.0  8.0   0.0181
 1.00  8250.  0.0  8.0   0.3316
 1.00  8250.  0.0  8.0   0.2581
 1.00  8250.  0.0  8.0   0.0073
 1.50  8250.  0.0  8.0   0.3081
 1.50  8250.  0.0  8.0   0.2795
 1.50  8250.  0.0  8.0   0.0093
 2.00  8250.  0.0  8.0   0.2920
 2.00  8250.  0.0  8.0   0.2900
 2.00  8250.  0.0  8.0   0.0112
 2.50  8250.  0.0  8.0   0.2828
 2.50  8250.  0.0  8.0   0.2952
 2.50  8250.  0.0  8.0   0.0122
 3.00  8250.  0.0  8.0   0.2787
 3.00  8250.  0.0  8.0   0.2972
 3.00  8250.  0.0  8.0   0.0125
 3.50  8250.  0.0  8.0   0.2784
 3.50  8250.  0.0  8.0   0.2966
 3.50  8250.  0.0  8.0   0.0120
 4.00  8250.  0.0  8.0   0.2747
 4.00  8250.  0.0  8.0   0.2995
 4.00  8250.  0.0  8.0   0.0112
 4.50  8250.  0.0  8.0   0.2316
 4.50  8250.  0.0  8.0   0.3338
 4.50  8250.  0.0  8.0   0.0130
 5.00  8250.  0.0  8.0   0.1834
 5.00  8250.  0.0  8.0   0.3623
 5.00  8250.  0.0  8.0   0.0189
 1.50  8500.  0.0  8.0   0.2989
 1.50  8500.  0.0  8.0   0.2811
 1.50  8500.  0.0  8.0   0.0094
 2.00  8500.  0.0  8.0   0.2806
 2.00  8500.  0.0  8.0   0.2917
 2.00  8500.  0.0  8.0   0.0114
 2.50  8500.  0.0  8.0   0.2697
 2.50  8500.  0.0  8.0   0.2962
 2.50  8500.  0.0  8.0   0.0128
 3.00  8500.  0.0  8.0   0.2629
 3.00  8500.  0.0  8.0   0.2987
 3.00  8500.  0.0  8.0   0.0133
 3.50  8500.  0.0  8.0   0.2602
 3.50  8500.  0.0  8.0   0.2992
 3.50  8500.  0.0  8.0   0.0132
 4.00  8500.  0.0  8.0   0.2597
 4.00  8500.  0.0  8.0   0.2985
 4.00  8500.  0.0  8.0   0.0126
 4.50  8500.  0.0  8.0   0.2489
 4.50  8500.  0.0  8.0   0.3087
 4.50  8500.  0.0  8.0   0.0119
 5.00  8500.  0.0  8.0   0.1997
 5.00  8500.  0.0  8.0   0.3475
 5.00  8500.  0.0  8.0   0.0147
 1.50  8750.  0.0  8.0   0.2911
 1.50  8750.  0.0  8.0   0.2826
 1.50  8750.  0.0  8.0   0.0094
 2.00  8750.  0.0  8.0   0.2706
 2.00  8750.  0.0  8.0   0.2943
 2.00  8750.  0.0  8.0   0.0116
 2.50  8750.  0.0  8.0   0.2580
 2.50  8750.  0.0  8.0   0.2984
 2.50  8750.  0.0  8.0   0.0130
 3.00  8750.  0.0  8.0   0.2504
 3.00  8750.  0.0  8.0   0.2996
 3.00  8750.  0.0  8.0   0.0137
 3.50  8750.  0.0  8.0   0.2462
 3.50  8750.  0.0  8.0   0.2995
 3.50  8750.  0.0  8.0   0.0139
 4.00  8750.  0.0  8.0   0.2441
 4.00  8750.  0.0  8.0   0.2992
 4.00  8750.  0.0  8.0   0.0135
 4.50  8750.  0.0  8.0   0.2428
 4.50  8750.  0.0  8.0   0.2994
 4.50  8750.  0.0  8.0   0.0129
 5.00  8750.  0.0  8.0   0.2196
 5.00  8750.  0.0  8.0   0.3213
 5.00  8750.  0.0  8.0   0.0127
 1.50  9000.  0.0  8.0   0.2840
 1.50  9000.  0.0  8.0   0.2845
 1.50  9000.  0.0  8.0   0.0095
 2.00  9000.  0.0  8.0   0.2613
 2.00  9000.  0.0  8.0   0.2975
 2.00  9000.  0.0  8.0   0.0118
 2.50  9000.  0.0  8.0   0.2484
 2.50  9000.  0.0  8.0   0.3007
 2.50  9000.  0.0  8.0   0.0133
 3.00  9000.  0.0  8.0   0.2402
 3.00  9000.  0.0  8.0   0.3008
 3.00  9000.  0.0  8.0   0.0140
 3.50  9000.  0.0  8.0   0.2353
 3.50  9000.  0.0  8.0   0.2998
 3.50  9000.  0.0  8.0   0.0143
 4.00  9000.  0.0  8.0   0.2319
 4.00  9000.  0.0  8.0   0.2991
 4.00  9000.  0.0  8.0   0.0141
 4.50  9000.  0.0  8.0   0.2304
 4.50  9000.  0.0  8.0   0.2983
 4.50  9000.  0.0  8.0   0.0136
 5.00  9000.  0.0  8.0   0.2317
 5.00  9000.  0.0  8.0   0.2955
 5.00  9000.  0.0  8.0   0.0130
 2.00  9250.  0.0  8.0   0.2519
 2.00  9250.  0.0  8.0   0.3011
 2.00  9250.  0.0  8.0   0.0121
 2.50  9250.  0.0  8.0   0.2390
 2.50  9250.  0.0  8.0   0.3039
 2.50  9250.  0.0  8.0   0.0136
 3.00  9250.  0.0  8.0   0.2313
 3.00  9250.  0.0  8.0   0.3026
 3.00  9250.  0.0  8.0   0.0143
 3.50  9250.  0.0  8.0   0.2261
 3.50  9250.  0.0  8.0   0.3006
 3.50  9250.  0.0  8.0   0.0146
 4.00  9250.  0.0  8.0   0.2218
 4.00  9250.  0.0  8.0   0.2995
 4.00  9250.  0.0  8.0   0.0145
 4.50  9250.  0.0  8.0   0.2195
 4.50  9250.  0.0  8.0   0.2980
 4.50  9250.  0.0  8.0   0.0142
 5.00  9250.  0.0  8.0   0.2185
 5.00  9250.  0.0  8.0   0.2962
 5.00  9250.  0.0  8.0   0.0137
 2.00  9500.  0.0  8.0   0.2420
 2.00  9500.  0.0  8.0   0.3051
 2.00  9500.  0.0  8.0   0.0126
 2.50  9500.  0.0  8.0   0.2292
 2.50  9500.  0.0  8.0   0.3076
 2.50  9500.  0.0  8.0   0.0140
 3.00  9500.  0.0  8.0   0.2227
 3.00  9500.  0.0  8.0   0.3049
 3.00  9500.  0.0  8.0   0.0147
 3.50  9500.  0.0  8.0   0.2179
 3.50  9500.  0.0  8.0   0.3018
 3.50  9500.  0.0  8.0   0.0149
 4.00  9500.  0.0  8.0   0.2138
 4.00  9500.  0.0  8.0   0.2996
 4.00  9500.  0.0  8.0   0.0149
 4.50  9500.  0.0  8.0   0.2105
 4.50  9500.  0.0  8.0   0.2979
 4.50  9500.  0.0  8.0   0.0146
 5.00  9500.  0.0  8.0   0.2082
 5.00  9500.  0.0  8.0   0.2961
 5.00  9500.  0.0  8.0   0.0142
 2.00  9750.  0.0  8.0   0.2329
 2.00  9750.  0.0  8.0   0.3078
 2.00  9750.  0.0  8.0   0.0133
 2.50  9750.  0.0  8.0   0.2196
 2.50  9750.  0.0  8.0   0.3108
 2.50  9750.  0.0  8.0   0.0146
 3.00  9750.  0.0  8.0   0.2137
 3.00  9750.  0.0  8.0   0.3076
 3.00  9750.  0.0  8.0   0.0151
 3.50  9750.  0.0  8.0   0.2099
 3.50  9750.  0.0  8.0   0.3034
 3.50  9750.  0.0  8.0   0.0152
 4.00  9750.  0.0  8.0   0.2066
 4.00  9750.  0.0  8.0   0.3000
 4.00  9750.  0.0  8.0   0.0152
 4.50  9750.  0.0  8.0   0.2029
 4.50  9750.  0.0  8.0   0.2979
 4.50  9750.  0.0  8.0   0.0150
 5.00  9750.  0.0  8.0   0.1999
 5.00  9750.  0.0  8.0   0.2961
 5.00  9750.  0.0  8.0   0.0147
 2.00 10000.  0.0  8.0   0.2245
 2.00 10000.  0.0  8.0   0.3096
 2.00 10000.  0.0  8.0   0.0141
 2.50 10000.  0.0  8.0   0.2103
 2.50 10000.  0.0  8.0   0.3131
 2.50 10000.  0.0  8.0   0.0152
 3.00 10000.  0.0  8.0   0.2047
 3.00 10000.  0.0  8.0   0.3102
 3.00 10000.  0.0  8.0   0.0156
 3.50 10000.  0.0  8.0   0.2017
 3.50 10000.  0.0  8.0   0.3055
 3.50 10000.  0.0  8.0   0.0156
 4.00 10000.  0.0  8.0   0.1992
 4.00 10000.  0.0  8.0   0.3012
 4.00 10000.  0.0  8.0   0.0155
 4.50 10000.  0.0  8.0   0.1967
 4.50 10000.  0.0  8.0   0.2977
 4.50 10000.  0.0  8.0   0.0153
 5.00 10000.  0.0  8.0   0.1930
 5.00 10000.  0.0  8.0   0.2960
 5.00 10000.  0.0  8.0   0.0150
 2.00 10250.  0.0  8.0   0.2172
 2.00 10250.  0.0  8.0   0.3103
 2.00 10250.  0.0  8.0   0.0148
 2.50 10250.  0.0  8.0   0.2016
 2.50 10250.  0.0  8.0   0.3145
 2.50 10250.  0.0  8.0   0.0160
 3.00 10250.  0.0  8.0   0.1958
 3.00 10250.  0.0  8.0   0.3122
 3.00 10250.  0.0  8.0   0.0161
 3.50 10250.  0.0  8.0   0.1939
 3.50 10250.  0.0  8.0   0.3072
 3.50 10250.  0.0  8.0   0.0159
 4.00 10250.  0.0  8.0   0.1924
 4.00 10250.  0.0  8.0   0.3022
 4.00 10250.  0.0  8.0   0.0157
 4.50 10250.  0.0  8.0   0.1899
 4.50 10250.  0.0  8.0   0.2985
 4.50 10250.  0.0  8.0   0.0156
 5.00 10250.  0.0  8.0   0.1863
 5.00 10250.  0.0  8.0   0.2964
 5.00 10250.  0.0  8.0   0.0153
 2.00 10500.  0.0  8.0   0.2111
 2.00 10500.  0.0  8.0   0.3103
 2.00 10500.  0.0  8.0   0.0155
 2.50 10500.  0.0  8.0   0.1938
 2.50 10500.  0.0  8.0   0.3144
 2.50 10500.  0.0  8.0   0.0168
 3.00 10500.  0.0  8.0   0.1876
 3.00 10500.  0.0  8.0   0.3128
 3.00 10500.  0.0  8.0   0.0168
 3.50 10500.  0.0  8.0   0.1862
 3.50 10500.  0.0  8.0   0.3081
 3.50 10500.  0.0  8.0   0.0164
 4.00 10500.  0.0  8.0   0.1854
 4.00 10500.  0.0  8.0   0.3030
 4.00 10500.  0.0  8.0   0.0159
 4.50 10500.  0.0  8.0   0.1839
 4.50 10500.  0.0  8.0   0.2987
 4.50 10500.  0.0  8.0   0.0157
 5.00 10500.  0.0  8.0   0.1810
 5.00 10500.  0.0  8.0   0.2958
 5.00 10500.  0.0  8.0   0.0155
 2.00 10750.  0.0  8.0   0.2065
 2.00 10750.  0.0  8.0   0.3096
 2.00 10750.  0.0  8.0   0.0161
 2.50 10750.  0.0  8.0   0.1871
 2.50 10750.  0.0  8.0   0.3136
 2.50 10750.  0.0  8.0   0.0174
 3.00 10750.  0.0  8.0   0.1802
 3.00 10750.  0.0  8.0   0.3124
 3.00 10750.  0.0  8.0   0.0173
 3.50 10750.  0.0  8.0   0.1787
 3.50 10750.  0.0  8.0   0.3085
 3.50 10750.  0.0  8.0   0.0168
 4.00 10750.  0.0  8.0   0.1785
 4.00 10750.  0.0  8.0   0.3036
 4.00 10750.  0.0  8.0   0.0162
 4.50 10750.  0.0  8.0   0.1780
 4.50 10750.  0.0  8.0   0.2989
 4.50 10750.  0.0  8.0   0.0159
 5.00 10750.  0.0  8.0   0.1760
 5.00 10750.  0.0  8.0   0.2954
 5.00 10750.  0.0  8.0   0.0157
 2.50 11000.  0.0  8.0   0.1813
 2.50 11000.  0.0  8.0   0.3121
 2.50 11000.  0.0  8.0   0.0179
 3.00 11000.  0.0  8.0   0.1736
 3.00 11000.  0.0  8.0   0.3108
 3.00 11000.  0.0  8.0   0.0178
 3.50 11000.  0.0  8.0   0.1717
 3.50 11000.  0.0  8.0   0.3076
 3.50 11000.  0.0  8.0   0.0172
 4.00 11000.  0.0  8.0   0.1723
 4.00 11000.  0.0  8.0   0.3030
 4.00 11000.  0.0  8.0   0.0165
 4.50 11000.  0.0  8.0   0.1727
 4.50 11000.  0.0  8.0   0.2982
 4.50 11000.  0.0  8.0   0.0161
 5.00 11000.  0.0  8.0   0.1711
 5.00 11000.  0.0  8.0   0.2948
 5.00 11000.  0.0  8.0   0.0158
 2.50 11250.  0.0  8.0   0.1766
 2.50 11250.  0.0  8.0   0.3103
 2.50 11250.  0.0  8.0   0.0184
 3.00 11250.  0.0  8.0   0.1676
 3.00 11250.  0.0  8.0   0.3088
 3.00 11250.  0.0  8.0   0.0182
 3.50 11250.  0.0  8.0   0.1652
 3.50 11250.  0.0  8.0   0.3063
 3.50 11250.  0.0  8.0   0.0175
 4.00 11250.  0.0  8.0   0.1659
 4.00 11250.  0.0  8.0   0.3024
 4.00 11250.  0.0  8.0   0.0167
 4.50 11250.  0.0  8.0   0.1670
 4.50 11250.  0.0  8.0   0.2979
 4.50 11250.  0.0  8.0   0.0162
 5.00 11250.  0.0  8.0   0.1665
 5.00 11250.  0.0  8.0   0.2940
 5.00 11250.  0.0  8.0   0.0159
 2.50 11500.  0.0  8.0   0.1727
 2.50 11500.  0.0  8.0   0.3084
 2.50 11500.  0.0  8.0   0.0187
 3.00 11500.  0.0  8.0   0.1627
 3.00 11500.  0.0  8.0   0.3061
 3.00 11500.  0.0  8.0   0.0185
 3.50 11500.  0.0  8.0   0.1598
 3.50 11500.  0.0  8.0   0.3036
 3.50 11500.  0.0  8.0   0.0178
 4.00 11500.  0.0  8.0   0.1602
 4.00 11500.  0.0  8.0   0.3004
 4.00 11500.  0.0  8.0   0.0170
 4.50 11500.  0.0  8.0   0.1618
 4.50 11500.  0.0  8.0   0.2964
 4.50 11500.  0.0  8.0   0.0163
 5.00 11500.  0.0  8.0   0.1617
 5.00 11500.  0.0  8.0   0.2929
 5.00 11500.  0.0  8.0   0.0159
 2.50 11750.  0.0  8.0   0.1694
 2.50 11750.  0.0  8.0   0.3070
 2.50 11750.  0.0  8.0   0.0191
 3.00 11750.  0.0  8.0   0.1587
 3.00 11750.  0.0  8.0   0.3032
 3.00 11750.  0.0  8.0   0.0187
 3.50 11750.  0.0  8.0   0.1548
 3.50 11750.  0.0  8.0   0.3008
 3.50 11750.  0.0  8.0   0.0179
 4.00 11750.  0.0  8.0   0.1550
 4.00 11750.  0.0  8.0   0.2982
 4.00 11750.  0.0  8.0   0.0171
 4.50 11750.  0.0  8.0   0.1567
 4.50 11750.  0.0  8.0   0.2949
 4.50 11750.  0.0  8.0   0.0164
 5.00 11750.  0.0  8.0   0.1571
 5.00 11750.  0.0  8.0   0.2918
 5.00 11750.  0.0  8.0   0.0159
 2.50 12000.  0.0  8.0   0.1662
 2.50 12000.  0.0  8.0   0.3061
 2.50 12000.  0.0  8.0   0.0193
 3.00 12000.  0.0  8.0   0.1548
 3.00 12000.  0.0  8.0   0.3008
 3.00 12000.  0.0  8.0   0.0189
 3.50 12000.  0.0  8.0   0.1506
 3.50 12000.  0.0  8.0   0.2975
 3.50 12000.  0.0  8.0   0.0180
 4.00 12000.  0.0  8.0   0.1502
 4.00 12000.  0.0  8.0   0.2953
 4.00 12000.  0.0  8.0   0.0171
 4.50 12000.  0.0  8.0   0.1517
 4.50 12000.  0.0  8.0   0.2927
 4.50 12000.  0.0  8.0   0.0164
 5.00 12000.  0.0  8.0   0.1527
 5.00 12000.  0.0  8.0   0.2899
 5.00 12000.  0.0  8.0   0.0159
 2.50 12250.  0.0  8.0   0.1639
 2.50 12250.  0.0  8.0   0.3051
 2.50 12250.  0.0  8.0   0.0196
 3.00 12250.  0.0  8.0   0.1516
 3.00 12250.  0.0  8.0   0.2986
 3.00 12250.  0.0  8.0   0.0190
 3.50 12250.  0.0  8.0   0.1468
 3.50 12250.  0.0  8.0   0.2944
 3.50 12250.  0.0  8.0   0.0180
 4.00 12250.  0.0  8.0   0.1460
 4.00 12250.  0.0  8.0   0.2922
 4.00 12250.  0.0  8.0   0.0171
 4.50 12250.  0.0  8.0   0.1475
 4.50 12250.  0.0  8.0   0.2900
 4.50 12250.  0.0  8.0   0.0164
 5.00 12250.  0.0  8.0   0.1486
 5.00 12250.  0.0  8.0   0.2879
 5.00 12250.  0.0  8.0   0.0158
 2.50 12500.  0.0  8.0   0.1618
 2.50 12500.  0.0  8.0   0.3045
 2.50 12500.  0.0  8.0   0.0199
 3.00 12500.  0.0  8.0   0.1485
 3.00 12500.  0.0  8.0   0.2967
 3.00 12500.  0.0  8.0   0.0192
 3.50 12500.  0.0  8.0   0.1435
 3.50 12500.  0.0  8.0   0.2914
 3.50 12500.  0.0  8.0   0.0180
 4.00 12500.  0.0  8.0   0.1422
 4.00 12500.  0.0  8.0   0.2888
 4.00 12500.  0.0  8.0   0.0171
 4.50 12500.  0.0  8.0   0.1435
 4.50 12500.  0.0  8.0   0.2869
 4.50 12500.  0.0  8.0   0.0163
 5.00 12500.  0.0  8.0   0.1447
 5.00 12500.  0.0  8.0   0.2853
 5.00 12500.  0.0  8.0   0.0158
