 logg  teff   ZR    a(CHEOPS)
 logg  teff   ZR    b(CHEOPS)
 logg  Teff   ZR    mucri(Cheops) 
 logg  teff   ZR    xi(CHEOPS)
 5.50  4000.  0.0   0.02874
 6.00  4000.  0.0   0.18154
 6.00  4000.  0.0   0.43487
 6.00  4000.  0.0   0.02116
 6.00  4000.  0.0   0.03641
 3.00  4100.  0.0   0.73521
 3.00  4100.  0.0   0.07375
 3.00  4100.  0.0   0.12329
 3.00  4100.  0.0   0.00647
 3.50  4100.  0.0   0.73419
 3.50  4100.  0.0   0.05304
 3.50  4100.  0.0   0.09420
 3.50  4100.  0.0   0.00513
 4.00  4100.  0.0   0.68587
 4.00  4100.  0.0   0.08325
 4.00  4100.  0.0   0.06911
 4.00  4100.  0.0   0.00414
 4.50  4100.  0.0   0.53445
 4.50  4100.  0.0   0.20622
 4.50  4100.  0.0   0.05289
 4.50  4100.  0.0   0.00907
 5.00  4100.  0.0   0.37203
 5.00  4100.  0.0   0.31415
 5.00  4100.  0.0   0.03923
 5.00  4100.  0.0   0.01664
 5.50  4100.  0.0   0.25862
 5.50  4100.  0.0   0.38723
 5.50  4100.  0.0   0.02875
 5.50  4100.  0.0   0.02595
 6.00  4100.  0.0   0.19628
 6.00  4100.  0.0   0.41980
 6.00  4100.  0.0   0.02113
 6.00  4100.  0.0   0.03319
 3.00  4200.  0.0   0.72268
 3.00  4200.  0.0   0.08185
 3.00  4200.  0.0   0.12228
 3.00  4200.  0.0   0.00609
 3.50  4200.  0.0   0.71859
 3.50  4200.  0.0   0.06602
 3.50  4200.  0.0   0.09349
 3.50  4200.  0.0   0.00529
 4.00  4200.  0.0   0.71336
 4.00  4200.  0.0   0.05735
 4.00  4200.  0.0   0.06941
 4.00  4200.  0.0   0.00401
 4.50  4200.  0.0   0.59651
 4.50  4200.  0.0   0.14976
 4.50  4200.  0.0   0.05320
 4.50  4200.  0.0   0.00630
 5.00  4200.  0.0   0.43677
 5.00  4200.  0.0   0.26471
 5.00  4200.  0.0   0.03896
 5.00  4200.  0.0   0.01299
 5.50  4200.  0.0   0.30583
 5.50  4200.  0.0   0.34225
 5.50  4200.  0.0   0.02908
 5.50  4200.  0.0   0.01930
 6.00  4200.  0.0   0.21987
 6.00  4200.  0.0   0.39980
 6.00  4200.  0.0   0.02136
 6.00  4200.  0.0   0.02945
 3.00  4300.  0.0   0.71090
 3.00  4300.  0.0   0.08997
 3.00  4300.  0.0   0.12259
 3.00  4300.  0.0   0.00610
