# BJD_TDB RV err_RV FWHM err_FWHM BIS_SPAN err_BIS Contrast err_Contrast S-index err_S-index Ha err_Ha
# (d) (m/s) (m/s) (km/s) (km/s) (m/s) (m/s) (-) (-) (-) (-) (dex) (dex)
2459276.58098 79698.76 0.86 6.4212 0.0017 -87.83 1.72 59.803 0.016 0.1694 0.0003 0.2125 0.0001
2459277.45568 79700.25 1.03 6.4175 0.0021 -87.29 2.06 59.820 0.019 0.1696 0.0004 0.2108 0.0002
2459277.62485 79695.49 0.86 6.4160 0.0017 -85.67 1.73 59.816 0.016 0.1704 0.0003 0.2136 0.0002
2459278.49301 79700.71 0.83 6.4153 0.0017 -85.84 1.66 59.857 0.015 0.1701 0.0003 0.2128 0.0001
2459286.61579 79703.69 1.39 6.4134 0.0028 -79.65 2.77 59.903 0.026 0.1628 0.0006 0.2131 0.0003
2459289.42680 79707.14 0.73 6.4157 0.0015 -84.34 1.46 59.842 0.014 0.1699 0.0002 0.2117 0.0001
2459289.57701 79704.62 0.95 6.4212 0.0019 -87.57 1.90 59.858 0.018 0.1693 0.0004 0.2114 0.0001
2459295.39721 79696.09 1.01 6.4185 0.0020 -82.78 2.02 59.849 0.019 0.1692 0.0004 0.2098 0.0002
2459295.56524 79696.14 1.49 6.4231 0.0030 -83.59 2.97 59.884 0.028 0.1686 0.0008 0.2084 0.0002
2459297.41397 79697.94 0.69 6.4167 0.0014 -85.07 1.39 59.791 0.013 0.1715 0.0002 0.2120 0.0001
2459297.55777 79700.33 1.27 6.4224 0.0025 -87.76 2.54 59.782 0.024 0.1713 0.0006 0.2079 0.0002
2459303.41103 79701.02 0.93 6.4115 0.0019 -88.44 1.86 59.815 0.017 0.1729 0.0004 0.2075 0.0001
2459303.56135 79695.43 2.05 6.4231 0.0041 -91.23 4.11 59.651 0.038 0.1544 0.0014 0.2068 0.0003
2459304.42545 79696.37 1.15 6.4208 0.0023 -83.77 2.30 59.873 0.021 0.1681 0.0005 0.2094 0.0002
2459304.57316 79700.35 1.84 6.4129 0.0037 -86.33 3.69 59.865 0.034 0.1611 0.0012 0.2105 0.0003
2459305.50546 79701.25 1.18 6.4120 0.0024 -84.57 2.37 59.938 0.022 0.1712 0.0006 0.2061 0.0002
2459324.45780 79694.13 1.42 6.4192 0.0028 -81.14 2.84 59.820 0.027 0.1698 0.0007 0.2123 0.0003
2459325.42306 79690.28 0.80 6.4163 0.0016 -87.20 1.60 59.804 0.015 0.1714 0.0002 0.2139 0.0001
2459326.47267 79693.56 0.76 6.4169 0.0015 -81.87 1.52 59.786 0.014 0.1694 0.0002 0.2108 0.0001
2459328.53703 79693.12 2.01 6.4208 0.0040 -79.92 4.01 59.471 0.037 0.1662 0.0015 0.2098 0.0003
2459342.44770 79708.84 1.86 6.4998 0.0037 -92.92 3.72 58.116 0.033 0.1646 0.0008 0.2021 0.0001
2459343.45982 79702.11 2.17 6.4722 0.0043 -90.75 4.35 58.587 0.039 0.1592 0.0011 0.2053 0.0002
2459344.44559 79707.06 2.30 6.4934 0.0046 -90.13 4.60 58.342 0.041 0.1667 0.0011 0.2008 0.0002
2459345.44847 79697.98 1.75 6.4940 0.0035 -93.33 3.49 58.225 0.031 0.1698 0.0007 0.2022 0.0001
2459346.42847 79696.71 1.27 6.4198 0.0025 -84.82 2.53 59.889 0.024 0.1671 0.0007 0.2053 0.0002
2459360.38528 79703.32 1.46 6.4207 0.0029 -84.29 2.92 59.654 0.027 0.1660 0.0008 0.2070 0.0002
2459361.41452 79703.37 0.99 6.4180 0.0020 -86.61 1.97 59.711 0.018 0.1703 0.0004 0.2103 0.0001
2459363.39943 79703.36 0.97 6.4197 0.0019 -83.98 1.95 59.855 0.018 0.1698 0.0004 0.2094 0.0001
2459364.39914 79703.61 1.09 6.4194 0.0022 -85.84 2.17 59.862 0.020 0.1711 0.0005 0.2121 0.0002
2459365.40960 79706.53 1.15 6.4162 0.0023 -84.77 2.30 59.834 0.021 0.1730 0.0005 0.2094 0.0002
2459366.41494 79705.35 0.97 6.4207 0.0019 -88.30 1.94 59.844 0.018 0.1702 0.0004 0.2110 0.0001
2459367.39691 79702.05 0.95 6.4157 0.0019 -84.86 1.90 59.840 0.018 0.1720 0.0004 0.2138 0.0002
